Time,Voltage,Current,RPM,Distance,Velocity,Soc
1,50.53,13.22,2397720,18935.84,68169.02,100
2,52.08,6.14,780,18942.0,22.18,100
3,52.44,14.77,646230,24045.56,18372.82,100
4,52.62,0.0,390,24048.64,11.09,100
5,52.55,0.92,494715,27955.62,14065.13,100
6,52.48,17.5,487695,31807.16,13865.54,100
7,52.59,0.25,46995,32178.3,1336.11,100
8,52.19,4.95,1141140,41190.38,32443.48,100
9,52.43,2.81,468390,44889.46,13316.68,100
10,50.58,17.78,612690,49728.14,17419.25,100
11,52.61,0.0,390,49731.21,11.08,100
12,52.65,0.0,390,49734.29,11.08,100
13,51.53,9.05,965835,57361.91,27459.44,100
14,52.63,0.16,273975,59525.61,7789.32,100
15,50.47,13.45,2095665,76075.99,59581.36,100
16,50.6,12.01,2059005,92336.85,58539.09,100
17,51.28,8.43,1202760,101835.57,34195.39,100
18,50.61,11.92,1079910,110364.09,30702.68,100
19,52.57,0.0,585,110368.71,16.62,100
20,52.58,0.22,354315,113166.89,10073.45,100
21,50.56,4.43,945945,120637.43,26893.94,100
22,52.05,4.03,206310,122266.75,5865.55,100
23,52.46,0.75,390,122269.83,11.08,100
24,52.6,0.0,390,122272.91,11.08,100
25,49.76,20.71,936195,129666.45,26616.74,100
26,51.05,11.04,1775085,143685.06,50467.02,100
27,52.52,0.69,338910,146361.58,9635.46,100
28,51.35,7.42,1588470,158906.42,45161.44,100
29,52.5,0.59,780,158912.58,22.16,100
30,51.87,6.2,485355,162745.64,13799.03,100
31,52.58,0.05,585,162750.27,16.65,100
32,52.56,1.75,853710,169492.39,24271.65,100
33,52.33,5.24,5850,169538.59,166.33,100
34,51.92,5.71,1772160,183534.11,50383.86,100
35,49.97,15.88,2064660,199839.62,58699.86,100
36,50.88,9.97,1958775,215308.92,55689.47,100
37,51.65,5.22,733590,221102.41,20856.54,100
38,51.55,8.38,810420,227502.64,23040.84,100
39,51.48,11.75,700440,233034.33,19914.07,100
40,51.37,7.05,1241370,242837.97,35293.11,100
